LocationName,Status,Resolution,Coordinates,LatitudeDecimal,LongitudeDecimal,Nation,ProvinceState,DistrictCounty,CityTown,Biome,ContinentOcean,ParkReserveName,Altitude,Rainfall,Temperature,Notes,Accuracy,Extent_km2,TimeAdded
"Bukit Lawang",NULL,SL,"03°32.983' N; 098°06.908' E",3.54995,98.1151,Indonesia,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Coordinates from Foitova et al 2010",1,2,"2019-12-03 21:18:26"
"Bulindi ",NULL,SL,"(1º28'N, 31º28'E)",1.46667,31.4667,Uganda,,,,NULL,Africa,,NULL,NULL,NULL,,1,1,"2019-12-03 21:18:51"
"Bundu Tuhan",NULL,SL,NULL,5.9835,116.534,Malaysia,NULL,NULL,NULL,NULL,Eurasia,NULL,NULL,NULL,NULL,"Called "Bundi Tuhan" in text but near Kinabalu, there is Bundu Tuhan. Geonames: Kampung Bundu Tuhan",2,2,"2019-12-03 21:25:21"
"Burka Dita",NULL,SL,"07° 16' 00" N; 037° 18' 00" E",7.26,37.3,Ethiopia,NULL,NULL,NULL,NULL,Africa,0,1600,0,NULL,"Southeast of Lake Langano, 210 km from Addis Ababa; Geonames: Dita PPL; close to the coordinates for Langano, matching info in reference (Legesse and Erko 2004)",2,2,"2011-07-08 19:42:24"
Busingiro,NULL,SL,"1° 42' 941" N; 31° 28' 201" E",1.96139,31.5225,Uganda,,,,NULL,Africa,"Budongo Forest Reserve",NULL,NULL,NULL,,1,1,"2019-12-03 21:26:43"
Bwamba,NULL,SL,"00° 50' 00" N; 030° 03' 00" E",0.83,30.05,Uganda,NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"Bwamba Forests, along Semliki R; Geonames: Bwamba Country ADMD, short name Bwamba (no forest listed)",2,2,"2011-07-08 19:42:40"
Bwindi,NULL,SL,"01° 00' 00" S; 029° 40' 00" E",-1.05,29.7,Uganda,NULL,NULL,NULL,NULL,Africa,2,0,0,NULL,"; Geonames:  Impenetrable Forest;confirmed with Acmemapper 2.0",2,2,"2011-07-08 19:44:11"
"BY field site",NULL,SL,NULL,3.75,15.15,Cameroon,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"See Figure 5",2,2,"2019-12-04 19:05:15"
Calakmul,NULL,SL,NULL,18.11,-89.81,Mexico,Campeche,NULL,NULL,NULL,SouthAmerica,NULL,NULL,NULL,NULL,"Acmemapper2.0;calakmul,campeche,mexico",2,2,"2012-06-14 21:56:07"
Cali,NULL,SL,NULL,3.43,-76.51,Colombia,NULL,NULL,NULL,NULL,SouthAmerica,0,NULL,NULL,NULL,"Acmemapper2.0;cali,colombia",2,2,"2019-12-03 19:03:28"
Camacan,NULL,SL,NULL,-15.35,-39.35,Brazil,Bahia,,,DeciduousForest,SouthAmerica,,NULL,NULL,NULL,,1,1,"2020-01-14 21:15:59"
CAMBODIA,NULL,N,"13° 00' 00" N; 105° 00' 00" E",13,105,Cambodia,NULL,NULL,NULL,NULL,Eurasia,0,0,0,NULL,"; Geonames: Cambodia PCLI",2,3,"2011-07-08 19:45:23"
CAMEROON,NULL,N,"06° 00' 00" N; 012° 00' 00" E",6,12,Cameroon,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames:  Cameroon PCLI",2,3,"2011-07-08 19:46:42"
Camopi,NULL,SL,"03° 13' 00" N; 052° 28' 00" W",3.21,-52.46,"French Guyana",NULL,NULL,NULL,NULL,SouthAmerica,1,0,0,NULL,"; Geonames:  Camopi PPL (all results very similar)",2,3,"2012-06-14 21:56:01"
"Campo Alegre",NULL,SL,NULL,-26.085,-49.187,Brazil,"Santa Catarina",NULL,NULL,NULL,SouthAmerica,NULL,NULL,NULL,NULL,"See Map 1 on Deane et al. 1971; confirmed on Geonames: Campo Alegre, Santa Catarina, Brazil",2,1,"2019-12-04 19:14:09"
"Campo Grande",NULL,SL,"20°26’34” S and 54°38’47” W",20.4428,54.646,Brazil,"Mato Grosso do Sul",,,NULL,NULL,,NULL,NULL,NULL,,1,3,"2020-09-15 01:00:20"
"Can Gio",NULL,SL,"10° 45' 00" N; 106° 40' 00" E",10.75,106.66,Vietnam,NULL,NULL,NULL,NULL,Eurasia,2,0,0,NULL,"Can Gio Mangrove Park, Ho Chi Minh City; Geonames: Ho Chi Minh City PPL (values similar to various ones for Can Gio_)",2,2,"2012-06-14 21:55:57"
"Cano Canome",NULL,P,"03° 30' 00" N; 066° 00' 00" W",3.5,-66,Venezuela,NULL,NULL,NULL,NULL,SouthAmerica,0,0,0,NULL,"Amazonas State; not in Geonames; nor is Atalbapo; used Amazonas ADM1 (State), limited search to Venezuela",2,2,"2011-07-08 20:19:24"
Cantanhez,NULL,SL,"11° 15' 52.6" N; 15° 1' 45.48" W",11.2646,-15.0293,"Guinea Bissau",Tombali,,,NULL,Africa,"Cantanhez National Park",70,NULL,NULL,,1,2,"2020-01-15 20:22:58"
"Cape St. Marie",NULL,SL,NULL,-25.5823,45.1496,Madagascar,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Geonames: Cape Saint Maries Special Reserve",1,2,"2019-12-04 21:06:46"
"Cape Vidal",NULL,SL,"28° 06' S; 32° 34' E",-28.1,32.56,"South Africa",NULL,NULL,NULL,NULL,Africa,0,20,0,NULL,"Natal region of South Africa; ",2,2,"2011-07-08 20:23:17"
"Capitão Poço",NULL,SL,NULL,-1.73,-47.05,Brazil,Para,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2,"2019-12-04 19:22:48"
Caratinga,NULL,SL,"19° 50' S; 41° 50' W",-19.83,-41.83,Brazil,NULL,NULL,NULL,NULL,SouthAmerica,2,0,0,NULL,"; primary ref",1,1,"2011-07-08 20:23:25"
"Carey Island",NULL,SL,"02° 52' 00" N; 101° 22' 00" E",2.86,101.36,Malaysia,NULL,NULL,NULL,NULL,Eurasia,1,0,0,NULL,"killed by aborigines, but seem to be more isolated than Indian macaques in same paper (?); Geonames Gazetteer",2,2,"2011-07-08 20:23:56"
"Carlos Green",NULL,P,NULL,17.6931,-92.6682,Mexico,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Geonames: Carlos Green, Tabasco, Mexico",2,2,"2019-12-04 19:26:44"
Carmo,NULL,SL,"21° 56' 01" S; 42° 36' 31" W",-21.934,-42.609,Brazil,"Rio de Janeiro",,,NULL,NULL,,NULL,NULL,NULL,,2,2,"2019-12-04 19:27:14"
Casamance,NULL,SL,NULL,12.75,-15.5,Senegal,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"Geonames: Casamance, Senegal",3,2,"2019-12-04 19:31:10"
Cayo,NULL,P,NULL,17,-88.9,Belize,Cayo,,,NULL,NULL,,NULL,NULL,NULL,,2,2,"2020-01-14 21:14:35"
Ceara,NULL,SL,"03° S; 40° W",-3,-40,Brazil,NULL,NULL,NULL,NULL,SouthAmerica,0,0,0,NULL,"; approximated based on reference source (Deane et al. 1969)",2,2,"2011-07-08 20:24:33"
"CENTRAL AFRICAN REPUBLIC",NULL,N,"07° 00' 00" N; 021° 00' 00" E",7,21,"Central African Republic",NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames:  CAR PCLI",2,3,"2011-07-08 20:25:19"
"Central Cameroon",NULL,O,NULL,4.7,11.7,Cameroon,NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,";google maps;central cameroon",2,3,"2012-06-14 21:55:50"
"Central Pacific Conservation Area",NULL,O,NULL,9.55721,-84.1532,"Costa Rica",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Using SINAC map http://www.sinac.go.cr/EN-US/ac/acopac/Pages/default.aspx in conjunction with Google maps",2,3,"2019-12-04 21:06:18"
"Central Volcanic Mountain Range",NULL,O,NULL,10.021,-83.9722,"Costa Rica",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Geonames: Cordillera Central",2,3,"2019-12-04 21:06:20"
"Cerrito and San Cayetano",NULL,O,NULL,-27.4167,-58.65,Argentina,NULL,NULL,NULL,NULL,SouthAmerica,NULL,NULL,1200,21.6,"Villages some distance apart but monkey data pooled from both.
Averaged Cerrito (C) (271170 S, 581370 W) and San Cayetano (SC) (271340 S, 581420 W) ",2,3,"2019-12-04 20:36:47"
"Cerro Azul",NULL,SL,"09° 10' 00" N; 079° 25' 00" W",9.16,-79.41,Panama,NULL,NULL,NULL,NULL,NorthAmerica,0,0,0,NULL,"; Geonames: Cerro Azul PPL, cross-checked to map in Galindo and Srihongse to decide which of two to use",2,2,"2011-07-08 20:26:32"
"Cerro Cana",NULL,SL,"08° 25' 00" N; 081° 50' 00" W",8.41,-81.83,Panama,NULL,NULL,NULL,NULL,NorthAmerica,1,0,0,NULL,"; Geonames:  Cerro Cana PPL",2,2,"2011-07-08 20:26:43"
Cesamance,NULL,O,"14° 00' 00" N; 014° 00' 00" W",14,-14,Senegal,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; not in Geonames, used coordinates for Senegal",3,3,"2020-01-14 20:40:39"
Chaco,NULL,SL,NULL,-20.1562,-60.304,Paraguay,NULL,NULL,NULL,NULL,SouthAmerica,"Parque nacional Defensores del Chaco",0,0,NULL,"ACME mapper",2,3,"2019-12-04 20:41:18"
Chandigarh,NULL,SL,"30.7333° N, 76.7794° E",30,77,"India ",,,,NULL,Eurasia,,NULL,NULL,NULL,"Punjab University in Chandigarh",1,1,"2019-12-04 20:43:46"
"Chapada dos Guimaraes",NULL,SL,NULL,-15.43,-55.75,Brazil,"Mato Grosso",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,"2019-12-04 20:45:10"
Charmaguria,NULL,P,NULL,23.1712,90.1698,Bangladesh,NULL,NULL,Charmaguria,NULL,NULL,NULL,NULL,NULL,NULL,"Google maps: Charmaguria, Bangladesh",2,2,"2019-12-04 20:48:39"
"Cherok Paloh",NULL,P,"03° 30' 00" N; 102° 45' 00" E",3.6,103.4,Malaysia,NULL,NULL,NULL,NULL,Eurasia,0,0,0,NULL,"in Pahang; Geonames: Pahang ADM1, no records for Cherok Paloh;Acmemapper2.0;cherok paloh,Malaysia",2,2,"2011-07-08 20:27:46"
Chiba,NULL,P,NULL,35.6,140.1,Japan,NULL,NULL,NULL,NULL,Eurasia,NULL,NULL,NULL,NULL,"Prefecture;Acmemapper2.0;chiba prefecture,japan",2,3,"2011-07-08 20:23:11"
"Chiba Prefecture",NULL,P,NULL,35.6,140.1,Japan,NULL,NULL,NULL,NULL,Eurasia,NULL,NULL,NULL,NULL,"Acmemapper 2.0;chiba prefecture,japan",2,3,"2012-09-18 18:17:38"
Chicualacuala,NULL,SL,"22° 04' 45" S; 031° 40' 43" E",-22.07,31.66,Mozambique,NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"; Geonames: Chicualacuala PPL",2,2,"2011-07-08 20:29:59"
Chiksuli,NULL,SL,NULL,14.336,74.639,India,Karnataka,,,NULL,NULL,,NULL,NULL,NULL,,1,1,"2020-01-14 21:15:33"
CHINA,NULL,N,"35° 00' 00" N; 105° 00' 00" E",35,105,China,NULL,NULL,NULL,NULL,Eurasia,0,0,0,NULL,"; Geonames:  China PCLI",2,4,"2011-07-08 20:30:20"
Chiriqui,NULL,SL,"08° 30' 00" N; 082° 14' 00" W",8.5,-82.23,Panama,NULL,NULL,NULL,NULL,NorthAmerica,0,0,0,NULL,"prov=province?; Geonames: no hits for Chirigni, but there is a Chiriqui Province ADM1, used here ",2,2,"2011-07-08 20:30:39"
"Chiriqui Province",NULL,P,NULL,8.59,-82.38,Panama,Chiriqui,NULL,NULL,NULL,SouthAmerica,NULL,NULL,NULL,NULL,"Along the Rio de la Vaca;googlemaps;chiriqui,panama",2,2,"2012-09-18 18:17:50"
Chittagong,NULL,SL,"22° 21' 49" N; 091° 48' 12" E",22.36,91.8,Bangladesh,NULL,NULL,NULL,NULL,Eurasia,1,0,0,NULL,"; Geonames: Chittagong PPL (similar to ADM1 and ADM2)",2,2,"2011-07-08 20:30:51"
Chobe,NULL,SL,NULL,-18.67,24.5,Botswana,,,,NULL,NULL,,NULL,NULL,NULL,,1,1,"2020-01-14 21:14:39"
Cipaganti,NULL,SL,NULL,-7.10917,107.767,Indonesia,"West Java",NULL,NULL,NULL,Eurasia,NULL,NULL,NULL,NULL,NULL,1,1,"2019-12-04 20:50:13"
CIRMF,NULL,SL,NULL,-1.63,13.58,Gabon,NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"found co-ordinates already recorded without notes, Acmemapper and googlemaps could however not localize",2,1,"2019-12-04 20:50:44"
"CK Durama Fragment",NULL,SL,NULL,0.5,30.4,Uganda,NULL,"Kibale National Park",NULL,NULL,Africa,NULL,NULL,NULL,NULL,"Forest fragment neighboring Kibale National Park.Acmemapper2.0;could not be localized,used kibale national park",3,2,"2012-09-18 18:17:55"
COLOMBIA,NULL,N,NULL,4.6,-74.3,Colombia,NULL,NULL,NULL,NULL,SouthAmerica,NULL,NULL,NULL,NULL,"Acmemapper2.0;colombia,colombia",2,3,"2020-01-14 20:39:23"
"Colon Province",NULL,P,NULL,9.4,-79.9,Panama,Colon,NULL,NULL,NULL,SouthAmerica,NULL,NULL,NULL,NULL,"Along the Rio Boqueron in the upper Chagres valley.;Acmemapper2.0;colon province,colon,panama",2,2,"2012-09-18 18:13:59"
Comalcalco,NULL,SL,NULL,18.2654,-93.3041,Mexico,Tabasco,NULL,NULL,NULL,SouthAmerica,NULL,NULL,NULL,NULL,"Geonames: Comalcalco, Tabasco, Mexico
Cross-referenced with Figure 1 ",1,1,"2019-12-04 21:12:26"
"Community Baboon Sanctuary",NULL,SL,NULL,17.5559,88.5349,Belize,NULL,NULL,NULL,NULL,SouthAmerica,NULL,NULL,NULL,NULL,"Google maps: Community Baboon Sanctuary",1,3,"2019-12-04 21:25:03"
CONGO,NULL,N,"01° 00' 00" S; 015° 00' 00" E",-1,15,Congo,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"not Zaire, French Congo; Geonames:  Congo PCLI (not Dem Rep Congo)",2,4,"2011-07-25 19:10:47"
Coquilhatville,NULL,SL,"00° 04' 00" N; 018° 16' 00" E",0.06,18.26,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"alternate name is Mbandaka; Geonames: Coquilhatville PPLA (altnerate name Mbandaka)",2,2,"2019-12-03 18:58:11"
Corcovado,NULL,SL,"08° 33' 00" N; 083° 37' 00" W",8.55,-83.61,"Costa Rica",NULL,NULL,NULL,NULL,NorthAmerica,2,0,0,NULL,"; Goenames:  Corcovado, used LKI (intermittent lakes) value; matches river, beach, etc. closely",2,2,"2011-07-08 20:21:36"
Corrientes,NULL,P,NULL,-29,-58,Argentina,Corrientes,,,NULL,NULL,,NULL,NULL,NULL,,3,3,"2020-01-14 21:16:11"
Corumbá,NULL,SL,"18º20’-19º40’ S and 57º57’-55º00’ W)",18.3333,57.95,Brazil,"Mato Grosso do Sul",,,NULL,NULL,,NULL,NULL,NULL,,1,3,"2020-09-15 01:11:23"
"COSTA RICA",NULL,N,"10° 00'00" N; 084° 00' 00" W",10,-84,"Costa Rica",NULL,NULL,NULL,NULL,NorthAmerica,0,0,0,NULL,"; Geonames: Costa Rica, republic of",2,3,"2011-07-08 20:20:54"
"CP field site",NULL,SL,NULL,2.6,9.9,Cameroon,NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,2,"2012-09-18 18:14:06"
"Crater Lake Nkuruba",NULL,SL,NULL,1.5,33.8,Uganda,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames: no hits for Nkur(uba), ;Acmemapper 2.0;Lake nkuru,uganda",2,2,"2019-12-04 21:34:00"
"Crooked Tree",NULL,SL,NULL,17.7942,-88.5339,Belize,Belize,,,NULL,NULL,,NULL,NULL,NULL,"Geonames: Crooked Tree Wildlife Sanctuary, Belize",1,2,"2020-01-14 21:16:36"
"Cross River",NULL,SL,NULL,5.67866,8.2311,Nigeria,"Cross River",,,NULL,NULL,,NULL,NULL,NULL,"In Figure 1 of Friant et al. 2015 and used Google maps to find exact coordinates",2,1,"2020-01-14 21:16:17"
"Cuc Phuong",NULL,SL,NULL,20.3,105.65,Vietnam,NULL,NULL,NULL,NULL,Eurasia,NULL,NULL,NULL,NULL,"Pu Luong - Cuc Phuong limestone range, Northern Vietnam:Acmemapper 2.0;cuc phuong,vietnam",2,2,"2012-06-14 21:54:47"
"Da Gama",NULL,SL,"S 34° 20' 41'' E 18° 28' 29''",-34.34,18.47,"South Africa","Western Cape",NULL,"Cape Town",NULL,Africa,NULL,NULL,NULL,NULL,"Geonames: Vasco da Gama Peak is a mountain on the Western Cape of SA (GeoNameID: 3360025)",1,1,"2013-03-04 20:07:25"
Daraina,NULL,SL,"13° 12' 00" S; 049° 40' 00" E",-13.2,49.66,Madagascar,NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"region of NE Madagascar; Geonames:  Daraina PPL",2,2,"2011-07-18 18:16:30"
Darajani,NULL,SL,"02° 35' 00" S; 038° 07' 00" E",-2.58,38.11,Kenya,NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"; Geonames: Darajani PPL (3 other options, all close by)",2,2,"2011-07-18 18:16:47"
Darien,NULL,P,"08° 13' 00" N; 077° 53' 00" W",8.22,-77.88,Panama,NULL,NULL,NULL,NULL,NorthAmerica,0,0,0,NULL,"; Geonames:  Darien ADM1",2,3,"2011-07-18 18:20:32"
"Darien Province",NULL,P,"08° 13' 00" N; 077° 53' 00" W",8.22,-77.88,Panama,NULL,NULL,NULL,NULL,NorthAmerica,0,0,0,NULL,"; Geonames: Darien Province ADM1",2,3,"2011-07-18 18:20:50"
"DD field site",NULL,SL,NULL,4.8,13.3,Cameroon,NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,2,"2012-09-18 18:18:05"
Dehradun,NULL,P,NULL,30.323,78.0317,India,,,Dehradun,NULL,NULL,,NULL,NULL,NULL,,2,3,"2020-01-14 21:15:35"
"DEMOCRATIC REPUBLIC OF CONGO",NULL,N,"00° 00'00" S; 025° 00' 00" E",0,25,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"Zaire, Belgian Congo; Geonames: Congo (Democratic Republic of) PCL1",2,4,"2019-12-05 18:02:22"
"DG field site",NULL,SL,NULL,3.8,13.2,Cameroon,NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,2,"2012-09-18 18:19:15"
Dhamrai,NULL,P,NULL,23.94,90.15,Bangladesh,NULL,NULL,Dhamrai,NULL,NULL,NULL,NULL,NULL,NULL,"Geonames: Dhamrai, Bangladesh",2,2,"2019-12-04 21:49:21"
"DI field site",NULL,SL,NULL,3.417,12.66,Cameroon,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Cross-referencing Figure 5 with Google Maps",2,2,"2019-12-04 21:56:54"
Diani,NULL,P,NULL,-4.3,39.55,Kenya,"Kenyan South Coast","Kwale District",NULL,NULL,Africa,NULL,NULL,NULL,31.5,"Acmemapper 2.0;Diani kenya",2,2,"2020-01-14 20:41:05"
"DJ field site",NULL,SL,NULL,3.15106,13.001,Cameroon,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"See figure 1 and 5. Neel et al. states the site is just south of the Dja reserve om south-central Cameroon",2,2,"2019-12-05 18:07:34"
Dja,NULL,SL,NULL,3.16,13.01,Cameroon,NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"Acmemapper 2.0;dja cameroon",2,2,"2011-07-18 18:24:18"
Djidji,NULL,SL,NULL,0.22,11.81,Gabon,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,""village"; Geonames: no records for this from Gabon,Acmemapper 2.0;Djidji,Gabon",2,2,"2019-12-05 18:18:16"
Djoum,NULL,P,NULL,2.666,12.666,Cameroon,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Listed in the 1959 text as being a part of "French Cameroon"; Geonames listed a few options but only Djoum in south Cameroon overlaps with C. cephus range",2,2,"2019-12-05 18:23:18"
"Djoumou Forest ",NULL,SL,NULL,-2.0646,13.767,"Gabon ",,,,NULL,Africa,"Djoumou Forest ",NULL,NULL,NULL,"See Figure 1",1,2,"2020-01-14 21:16:57"
Dokhola,NULL,P,NULL,24.71,90.0676,Bangladesh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Google maps: Dokhola",2,2,"2019-12-05 18:42:12"
"Don Chao Pu Forest Park",NULL,SL,NULL,15.858,104.629,Thailand,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2,"2019-12-05 18:43:20"
"DP field site",NULL,SL,NULL,2.8,11.4,Cameroon,NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,2,"2012-09-18 18:30:55"
"DS field site",NULL,SL,NULL,3.8,16.2,"Central African Republic",NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,2,"2012-09-18 18:34:20"
"Du River",NULL,SL,"06° 14' 34" N; 010° 32' 24" W",6.24,-10.53,Liberia,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames: Du River STM",3,2,"2011-07-18 18:27:57"
Dura,NULL,SL,NULL,0.45,30.3833,Uganda,NULL,"Kibale National Park",NULL,NULL,Africa,NULL,1427,1749,17.45,"Temp.: avg. mean daily minima and maxima (14.9, 20.2)",2,2,"2019-12-05 18:46:07"
"Dzanga Sangha Protected Areas",NULL,O,NULL,2.22,16.1919,"Central African Republic",NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"Geonames: Dzanga-Sangha Complex of Protected Areas",1,3,"2019-12-05 18:45:48"
Dzanga-Ndoki,NULL,SL,"2° 22' N; 16° 16' E",2.36,16.26,"Central African Republic",NULL,NULL,NULL,NULL,Africa,2,0,0,NULL,"; from primary ref",1,1,"2011-07-18 18:28:34"
"Eastern Cape",NULL,P,"32° 00' 00" S; 026° 00' 00" E",-32,26,"South Africa",NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames:  Eastern Cape, Province of",2,3,"2011-07-18 18:29:41"
"Eastern Sabah",NULL,P,"05° 30' 00" N; 117° 00' 00" E",5.5,117,Malaysia,NULL,NULL,NULL,NULL,Eurasia,1,0,0,NULL,"in Borneo; Geonames: Sabah ADM1",2,3,"2011-07-18 18:30:54"
"EB field site",NULL,SL,NULL,3.9,9.9,Cameroon,NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,2,"2012-09-18 18:34:26"
Ehime,NULL,P,"33° 45' 00" N; 132° 45' 00" E",33.75,132.75,Japan,NULL,NULL,NULL,NULL,Eurasia,0,0,0,NULL,"SL listed, but data not broken down by locality, so just use Prefecture; Geonames: Ehime ADM1",2,3,"2011-07-18 18:31:46"
"EK field site",NULL,SL,NULL,2,11.3,Cameroon,NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,2,"2012-09-18 18:34:29"
"El Piñalito",NULL,SL,NULL,-26.5,-53.833,Argentina,NULL,NULL,NULL,NULL,SouthAmerica,NULL,NULL,NULL,NULL,"Exact location given in Methods section of Holtzmann et al. 2010",1,1,"2019-12-05 18:51:42"
"El Soberbio",NULL,SL,NULL,-27.29,-54.2,Argentina,NULL,NULL,NULL,NULL,SouthAmerica,NULL,NULL,NULL,NULL,";Acmemapper 2.0;el soberbio,Argentina",2,2,"2011-07-18 18:55:14"
Engenho,NULL,SL,"07° 00' 43.84" S; 34° 57' 24.96" W",-7.01218,-34.9569,Brazil,Paraiba,,"Joao Pessoa",NULL,SouthAmerica,"Private Natural Heritage Reserve of Engenho Gargau",NULL,1700,24,,1,2,"2019-12-05 18:52:24"
Entebbe,NULL,SL,"00° 03' 52" N; 032° 26' 49" E",0.06,32.43,Uganda,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames: Entebbe PPL

For Hoare 1972, he lists Uganda as the location for the potto parasites which he collected himself, but Berghe, Chardome, and Peel in 1963 give clarification that his collection was near Entebbe, Uganda. This narrows it down.",2,2,"2020-12-07 20:20:27"
"EP field site",NULL,SL,NULL,1.3,29.8,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,2,"2019-12-03 19:01:08"
"EQUATORIAL GUINEA",NULL,N,"02° 00' 00" N; 010° 00' 00" E",2,10,"Equatorial Guinea",NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames: Equatorial Guinea PCLI",2,3,"2011-07-18 18:56:22"
Escarcega,NULL,SL,"18° 16' N; 90° 43' W",18.6101,90.739,Mexico,Campeche,,,NULL,NULL,,NULL,NULL,26,,1,1,"2019-12-05 18:52:49"
"Espirito Santo",NULL,P,"20° 00' 00" S; 040° 45' 00" W",-20,-40.75,Brazil,NULL,NULL,NULL,NULL,SouthAmerica,0,0,0,NULL,"; Geonames: Espirito Santo (Estado) ADMD",2,3,"2011-07-18 18:57:53"
"Estación Biológica Corrientes",NULL,SL,NULL,-34.6,-58.4,Argentina,NULL,NULL,NULL,NULL,SouthAmerica,NULL,NULL,1200,21.6,"Rainfall in mm.;Acmemapper 2.0;Estacion biologica,Argentina",2,2,"2012-06-14 21:54:09"
"Estacion Biologica Quebrada Blanco",NULL,SL,NULL,-4.35,-73.15,Peru,NULL,NULL,NULL,NULL,SouthAmerica,NULL,NULL,NULL,NULL,"Wenz et al. 2010",1,1,"2019-12-05 18:54:09"
"Estancia Guaycolec",NULL,SL,"58°11' W, 25°58' S",-25.9667,-58.1833,Argentina,,,,NULL,NULL,,NULL,NULL,NULL,"Forest in cattle ranch; Owl Monkey Project",1,3,"2019-12-05 18:54:03"
"ET forestry reserve",NULL,SL,NULL,19.8,-90.5,Mexico,Campeche,NULL,NULL,NULL,SouthAmerica,NULL,NULL,NULL,NULL,"Acmemapper2.0;used campeche ,mexico",2,2,"2012-06-14 21:54:05"
ETHIOPIA,NULL,N,"08° 00'00" N; 038° 00' 00" E",8,38,Ethiopia,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames: Ethiopia, federal democratic republic of",2,4,"2011-07-18 19:06:51"
Etoumbi,NULL,SL,"00° 29' 40" N; 14° 40' 45" E",0.49,14.66,Congo,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames: Etoumbi PPL",2,2,"2011-07-18 19:07:09"
Ewo,NULL,SL,"00° 52' 21" S; 014° 49' 14" E",-0.87,14.81,Congo,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames: Ewo PPL - picked 1 of 3 similar options",2,2,"2011-07-18 19:07:28"
"Fathala Forest",NULL,SL,"13° 39' 00" N; 016° 30' 00" W",13.65,-16.5,Senegal,NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"; Geonames: Fathala Forest FRST",2,2,"2011-07-18 19:07:44"
"Fazenda Barreiro Rico",NULL,SL,"22° 40' S; 48° 11' W",-22.66,-48.18,Brazil,NULL,NULL,NULL,NULL,SouthAmerica,1,480,1200,NULL,"; primary ref; altitude and rainfall from Milton 1986",1,1,"2011-07-18 19:07:52"
"Fazenda Esmeralda",NULL,SL,"20° 13' S; 42° 39' W",-20.21,-42.65,Brazil,NULL,NULL,NULL,NULL,SouthAmerica,1,0,0,NULL,"based on info Table 1; primary ref",1,2,"2011-07-18 19:08:05"
