,Unnamed: 0,HostCorrectedName,ParasiteCorrectedName,Arthropod,Bacteria,Protozoa,Fungus,Virus,Helminth,NoEntry,Vector,Direct,Indirect,Sexual,Vertical,CloseT,Nonclose,Intermediate,WtAvgPrevalence,Citation,Parasite_type,transmission_type
480,480,Cercocebus galeritus,Capillaria sp.,0,0,0,0,0,2,0,0,2,2,0,0,0,2,2,0.078714286,2,Helminth,Direct-Indirect-Nonclose-Intermediate
481,481,Cercocebus galeritus,Cercogylus africanus,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,,1,Helminth,Indirect-Intermediate
482,482,Cercocebus galeritus,Deltaretrovirus Primate T-lymphotropic virus 1,0,0,0,0,2,0,0,0,2,0,2,2,2,0,0,0.481444444,2,Virus,Direct-Sexual-Vertical-CloseT
483,483,Cercocebus galeritus,Deltaretrovirus Primate T-lymphotropic virus 2,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0.146,1,Virus,Direct-Sexual-Vertical-CloseT
484,484,Cercocebus galeritus,Deltaretrovirus Primate T-lymphotropic virus 3,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0.167,1,Virus,Direct-Sexual-Vertical-CloseT
485,485,Cercocebus galeritus,Deltaretrovirus sp.,0,0,0,0,2,0,0,0,2,0,2,2,2,0,0,0.619392857,2,Virus,Direct-Sexual-Vertical-CloseT
486,486,Cercocebus galeritus,Dicrocoelium sp.,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.25,1,Helminth,Indirect-Intermediate
487,487,Cercocebus galeritus,Encephalitozoon hellem,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,1,Fungus,Direct
488,488,Cercocebus galeritus,Entamoeba coli,0,0,3,0,0,0,0,0,3,0,0,0,3,3,0,0.442152542,3,Protozoa,Direct-CloseT-Nonclose
489,489,Cercocebus galeritus,Entamoeba hartmanni,0,0,2,0,0,0,0,0,2,0,0,0,2,2,0,0.140857143,2,Protozoa,Direct-CloseT-Nonclose
490,490,Cercocebus galeritus,Entamoeba histolytica,0,0,2,0,0,0,0,0,2,0,0,0,2,2,0,0.097088889,2,Protozoa,Direct-CloseT-Nonclose
491,491,Cercocebus galeritus,Hepatocystis kochi,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,,1,Protozoa,Vector-Indirect
492,492,Cercocebus galeritus,Heterakis sp.,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0.164285714,2,Helminth,Indirect-Intermediate
493,493,Cercocebus galeritus,Iodamoeba butschlii,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0.5,1,Protozoa,Direct-CloseT-Nonclose
494,494,Cercocebus galeritus,Isospora sp.,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.06,1,Protozoa,Direct
495,495,Cercocebus galeritus,Lentivirus Simian immunodeficiency virus,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0.364,1,Virus,Direct-Sexual-Vertical-CloseT
496,496,Cercocebus galeritus,Oesophagostomum sp.,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.057,1,Helminth,Direct-Nonclose
497,497,Cercocebus galeritus,Pentatrichomonas hominis,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.875,1,Protozoa,Direct-Nonclose
498,498,Cercocebus galeritus,Physaloptera sp.,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0.098,2,Helminth,Indirect-Intermediate
499,499,Cercocebus galeritus,Plasmodium georgesi,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,,1,Protozoa,Vector-Indirect
500,500,Cercocebus galeritus,Plasmodium gonderi,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,,3,Protozoa,Vector-Indirect
501,501,Cercocebus galeritus,Plasmodium petersi,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,,1,Protozoa,Vector-Indirect
502,502,Cercocebus galeritus,Streptopharagus sp.,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0.093285714,2,Helminth,Indirect-Intermediate
503,503,Cercocebus galeritus,Strongyloides fuelleborni,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0.018,1,Helminth,Direct-Indirect-Nonclose
504,504,Cercocebus galeritus,Toxascaris sp.,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0.054714286,2,Helminth,Direct-Nonclose
505,505,Cercocebus galeritus,Toxocara sp.,0,0,0,0,0,2,0,0,2,0,0,2,0,2,0,0.174,2,Helminth,Direct-Vertical-Nonclose
506,506,Cercocebus galeritus,Trichostrongylus sp.,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0.095142857,2,Helminth,Direct-Nonclose
507,507,Cercocebus galeritus,Trichuris trichiura,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.155,1,Helminth,Direct-Nonclose
508,508,Cercocebus sp.,Flavivirus Yellow Fever,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,,1,Virus,Vector-Indirect
509,509,Cercocebus sp.,Taenia saginata,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,,1,Helminth,Indirect-Intermediate
510,510,Cercocebus torquatus,Anatrichosoma ixyos,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,,1,Helminth,Direct-Nonclose
511,511,Cercocebus torquatus,Ancylostoma sp.,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.739,1,Helminth,Direct-Nonclose
512,512,Cercocebus torquatus,Armillifer armillatus,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,,1,Arthropod,Indirect-Nonclose-Intermediate
513,513,Cercocebus torquatus,Balantidium coli,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0.603,1,Protozoa,Direct-CloseT-Nonclose
514,514,Cercocebus torquatus,Blastocystis sp.,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.372,1,Protozoa,Direct
515,515,Cercocebus torquatus,Brodenia serrata,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,,1,Helminth,Indirect-Intermediate
516,516,Cercocebus torquatus,Chilomastix mesnili,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0.327,1,Protozoa,Direct-CloseT-Nonclose
517,517,Cercocebus torquatus,Cytomegalovirus sp.,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,,1,Virus,Direct-Sexual-Vertical-CloseT
518,518,Cercocebus torquatus,Deltaretrovirus Primate T-lymphotropic virus 1,0,0,0,0,4,0,0,0,4,0,4,4,4,0,0,0.222074074,4,Virus,Direct-Sexual-Vertical-CloseT
519,519,Cercocebus torquatus,Deltaretrovirus Primate T-lymphotropic virus 3,0,0,0,0,2,0,0,0,2,0,2,2,2,0,0,0.429,2,Virus,Direct-Sexual-Vertical-CloseT
520,520,Cercocebus torquatus,Deltaretrovirus sp.,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0.5,1,Virus,Direct-Sexual-Vertical-CloseT
521,521,Cercocebus torquatus,Dicrocoelium sp.,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.367,1,Helminth,Indirect-Intermediate
522,522,Cercocebus torquatus,Endolimax nana,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0.166,1,Protozoa,Direct-CloseT-Nonclose
523,523,Cercocebus torquatus,Entamoeba coli,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0.92,1,Protozoa,Direct-CloseT-Nonclose
524,524,Cercocebus torquatus,Entamoeba hartmanni,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0.342,1,Protozoa,Direct-CloseT-Nonclose
525,525,Cercocebus torquatus,Giardia sp.,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.286,1,Protozoa,Direct-Nonclose
526,526,Cercocebus torquatus,Hepatocystis kochi,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,,1,Protozoa,Vector-Indirect
527,527,Cercocebus torquatus,Iodamoeba butschlii,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0.387,1,Protozoa,Direct-CloseT-Nonclose
528,528,Cercocebus torquatus,Lentivirus Simian immunodeficiency virus,0,0,0,0,16,0,0,0,16,0,16,16,16,0,0,0.484237288,5,Virus,Direct-Sexual-Vertical-CloseT
529,529,Cercocebus torquatus,Necator americanus,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.22,1,Helminth,Direct-Nonclose
530,530,Cercocebus torquatus,Oesophagostomum sp.,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.799,1,Helminth,Direct-Nonclose
531,531,Cercocebus torquatus,Paragonimus africanus,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,,1,Helminth,Indirect-Intermediate
532,532,Cercocebus torquatus,Plasmodium gonderi,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,,2,Protozoa,Vector-Indirect
533,533,Cercocebus torquatus,Strongyloides stercoralis,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0.07,1,Helminth,Direct-Indirect-Nonclose
534,534,Cercocebus torquatus,Subulura sp.,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.302,1,Helminth,Indirect-Intermediate
535,535,Cercocebus torquatus,Ternidens sp.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.096,1,Helminth,
536,536,Cercocebus torquatus,Trichuris sp.,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.111,1,Helminth,Direct-Nonclose
537,537,Cercocebus torquatus,Trypanosoma brucei,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,Protozoa,Vector-Indirect
538,538,Cercopithecus aethiops,Alphavirus Chikungunya virus,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,,2,Virus,Vector-Indirect
539,539,Cercopithecus aethiops,Amblyomma hebraeum,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,,1,Arthropod,Direct-Indirect-Nonclose
540,540,Cercopithecus aethiops,Anatrichosoma sp.,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.045,1,Helminth,Direct-Nonclose
541,541,Cercopithecus aethiops,Armillifer armillatus,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,,1,Arthropod,Indirect-Nonclose-Intermediate
542,542,Cercopithecus aethiops,Arterivirus Drakensberg Mountain vervet virus,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,1,Virus,
543,543,Cercopithecus aethiops,Arterivirus Zambian Malbrouck 1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,Virus,
544,544,Cercopithecus aethiops,Ascaris sp.,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0.33,2,Helminth,Direct-Nonclose
545,545,Cercopithecus aethiops,Babesia pitheci,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,,1,Protozoa,Vector-Indirect
546,546,Cercopithecus aethiops,Bertiella studeri,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,,1,Helminth,Indirect-Intermediate
547,547,Cercopithecus aethiops,Blastocystis hominis,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0.56,1,Protozoa,Direct-CloseT-Nonclose
548,548,Cercopithecus aethiops,Borrelia harveyi,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,,1,Bacteria,Vector-Indirect
549,549,Cercopithecus aethiops,Cardiovirus Cardiovirus A,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0.167,1,Virus,Direct-CloseT-Nonclose
550,550,Cercopithecus aethiops,Cercopithifilaria verveti,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,,1,Helminth,Vector-Indirect
551,551,Cercopithecus aethiops,Chlamydia sp.,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,,1,Bacteria,Direct-Indirect
552,552,Cercopithecus aethiops,Cryptosporidium sp.,0,0,2,0,0,0,0,0,2,0,0,0,2,2,0,0.292878049,1,Protozoa,Direct-CloseT-Nonclose
553,553,Cercopithecus aethiops,Cyclospora cercopitheci,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0.06,1,Protozoa,Direct-CloseT-Nonclose
554,554,Cercopithecus aethiops,Deltaretrovirus Primate T-lymphotropic virus 1,0,0,0,0,49,0,0,0,49,0,49,49,49,0,0,0.296473644,10,Virus,Direct-Sexual-Vertical-CloseT
555,555,Cercopithecus aethiops,Deltaretrovirus sp.,0,0,0,0,7,0,0,0,7,0,7,7,7,0,0,0.388205357,1,Virus,Direct-Sexual-Vertical-CloseT
556,556,Cercopithecus aethiops,Dipetalonema gracile,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,,1,Helminth,Vector-Indirect
557,557,Cercopithecus aethiops,Dirofilaria aethiops,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,,1,Helminth,Vector-Indirect
558,558,Cercopithecus aethiops,Entamoeba coli,0,0,5,0,0,0,0,0,5,0,0,0,5,5,0,0.729466667,4,Protozoa,Direct-CloseT-Nonclose
559,559,Cercopithecus aethiops,Enterobius bipapillatus,0,0,0,0,0,4,0,0,4,0,0,0,4,4,0,,3,Helminth,Direct-CloseT-Nonclose
560,560,Cercopithecus aethiops,Entopolypoides macaci,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,,2,Protozoa,Vector-Indirect
561,561,Cercopithecus aethiops,Fasciola sp.,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.38,1,Helminth,Indirect-Intermediate
562,562,Cercopithecus aethiops,Flavivirus Yellow Fever,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,,1,Virus,Vector-Indirect
563,563,Cercopithecus aethiops,Giardia sp.,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.144,1,Protozoa,Direct-Nonclose
564,564,Cercopithecus aethiops,Hepatocystis cercopitheci,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,,1,Protozoa,Vector-Indirect
565,565,Cercopithecus aethiops,Hepatocystis kochi,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,,1,Protozoa,Vector-Indirect
566,566,Cercopithecus aethiops,Hepatovirus Hepatitis A,0,0,0,0,2,0,0,0,2,0,0,0,2,2,0,0.37,1,Virus,Direct-CloseT-Nonclose
567,567,Cercopithecus aethiops,Hyostrongylus sp.,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0.04,1,Helminth,Direct-Nonclose
568,568,Cercopithecus aethiops,Iodamoeba butschlii,0,0,2,0,0,0,0,0,2,0,0,0,2,2,0,0.583,2,Protozoa,Direct-CloseT-Nonclose
569,569,Cercopithecus aethiops,Lentivirus Simian immunodeficiency virus,0,0,0,0,39,0,0,0,39,0,39,39,39,0,0,,8,Virus,Direct-Sexual-Vertical-CloseT
570,570,Cercopithecus aethiops,Leptospira sp.,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0.5,2,Bacteria,Direct
571,571,Cercopithecus aethiops,Loa loa,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,,1,Helminth,Vector-Indirect
572,572,Cercopithecus aethiops,Metastrongylus sp.,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.17,1,Helminth,Indirect-Intermediate
573,573,Cercopithecus aethiops,Necator sp.,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.063,1,Helminth,Direct-Nonclose
574,574,Cercopithecus aethiops,Oesophagostomum bifurcum,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,,1,Helminth,Direct-Nonclose
575,575,Cercopithecus aethiops,Orbivirus Orungo virus,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,,1,Virus,Vector-Indirect
576,576,Cercopithecus aethiops,Pegivirus simian vervet,0,0,0,0,5,0,0,0,0,0,5,0,5,0,0,,1,Virus,Sexual-CloseT
577,577,Cercopithecus aethiops,Physaloptera sp.,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.06,1,Helminth,Indirect-Intermediate
578,578,Cercopithecus aethiops,Polyomavirus Simian agent virus 12,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0.12,2,Virus,Direct-CloseT
579,579,Cercopithecus aethiops,Primasubulura sp.,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0.1,2,Helminth,Direct-CloseT
580,580,Cercopithecus aethiops,Prosarcoptes pitheci,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,,1,Arthropod,Direct-CloseT-Nonclose
581,581,Cercopithecus aethiops,Psorergates cercopitheci,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,1,Arthropod,Direct-CloseT
582,582,Cercopithecus aethiops,Rhipicephalus appendiculatus,3,0,0,0,0,0,0,0,3,3,0,0,0,3,0,,1,Arthropod,Direct-Indirect-Nonclose
583,583,Cercopithecus aethiops,Rhipicephalus sanguineus,3,0,0,0,0,0,0,0,3,3,0,0,0,3,0,,1,Arthropod,Direct-Indirect-Nonclose
584,584,Cercopithecus aethiops,Rickettsia conori,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,,1,Bacteria,Vector-Indirect
585,585,Cercopithecus aethiops,Schistosoma haematobium,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.02,1,Helminth,Indirect-Intermediate
586,586,Cercopithecus aethiops,Schistosoma mansoni,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0.214285714,3,Helminth,Indirect-Intermediate
587,587,Cercopithecus aethiops,Schistosoma mattheei,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0.047576271,2,Helminth,Indirect-Intermediate
588,588,Cercopithecus aethiops,Setaria sp.,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,,1,Helminth,Vector-Indirect
589,589,Cercopithecus aethiops,Spirurida sp.,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,,1,Helminth,Indirect-Intermediate
590,590,Cercopithecus aethiops,Spumavirus Simian foamy virus,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0.35,1,Virus,Direct-Sexual-Vertical-CloseT
591,591,Cercopithecus aethiops,Streptopharagus pigmentatus,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,,1,Helminth,Indirect-Intermediate
592,592,Cercopithecus aethiops,Strongyloides fuelleborni,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0.42,1,Helminth,Direct-Indirect-Nonclose
593,593,Cercopithecus aethiops,Subulura distans,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,,1,Helminth,Direct-Indirect-Intermediate
594,594,Cercopithecus aethiops,Ternidens deminutus,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.6,2,Helminth,
595,595,Cercopithecus aethiops,Toxocara sp.,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0.17,1,Helminth,Direct-Vertical-Nonclose
596,596,Cercopithecus aethiops,Treponema pallidum,0,24,0,0,0,0,0,0,24,0,24,0,24,0,0,,1,Bacteria,Direct-Sexual-CloseT
597,597,Cercopithecus aethiops,Trichuris trichiura,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,,1,Helminth,Direct-Nonclose
598,598,Cercopithecus aethiops,Trypanosoma brucei,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,,1,Protozoa,Vector-Indirect
599,599,Cercopithecus ascanius,Alphavirus Chikungunya virus,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,,1,Virus,Vector-Indirect
600,600,Cercopithecus ascanius,Alphavirus Semliki forest virus,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0.6,1,Virus,Vector-Indirect
601,601,Cercopithecus ascanius,Arterivirus Simian hemorrhagic fever virus,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0.308,1,Virus,Direct-CloseT-Nonclose
602,602,Cercopithecus ascanius,Babesia pitheci,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,,1,Protozoa,Vector-Indirect
603,603,Cercopithecus ascanius,Bertiella sp.,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.004,1,Helminth,Indirect-Intermediate
604,604,Cercopithecus ascanius,Blastocystis sp.,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,1,Protozoa,Direct
605,605,Cercopithecus ascanius,Chilomastix mesnili,0,0,2,0,0,0,0,0,2,0,0,0,2,2,0,0.08,2,Protozoa,Direct-CloseT-Nonclose
606,606,Cercopithecus ascanius,Chitwoodspirura sp.,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.13,1,Helminth,Indirect-Intermediate
607,607,Cercopithecus ascanius,Deltaretrovirus Primate T-lymphotropic virus 1,0,0,0,0,2,0,0,0,2,0,2,2,2,0,0,0.025847134,2,Virus,Direct-Sexual-Vertical-CloseT
608,608,Cercopithecus ascanius,Deltaretrovirus sp.,0,0,0,0,3,0,0,0,3,0,3,3,3,0,0,0.127862385,1,Virus,Direct-Sexual-Vertical-CloseT
609,609,Cercopithecus ascanius,Dientamoeba fragilis,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,,1,Protozoa,Direct-CloseT-Nonclose
610,610,Cercopithecus ascanius,Endolimax nana,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,,1,Protozoa,Direct-CloseT-Nonclose
611,611,Cercopithecus ascanius,Entamoeba coli,0,0,5,0,0,0,0,0,5,0,0,0,5,5,0,0.199680365,4,Protozoa,Direct-CloseT-Nonclose
612,612,Cercopithecus ascanius,Entamoeba hartmanni,0,0,2,0,0,0,0,0,2,0,0,0,2,2,0,,2,Protozoa,Direct-CloseT-Nonclose
613,613,Cercopithecus ascanius,Entamoeba histolytica,0,0,3,0,0,0,0,0,3,0,0,0,3,3,0,0.100828025,2,Protozoa,Direct-CloseT-Nonclose
614,614,Cercopithecus ascanius,Enterobius sp.,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0.01,1,Helminth,Direct-CloseT-Nonclose
615,615,Cercopithecus ascanius,Flavivirus Uganda S,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0.5,1,Virus,Vector-Indirect
616,616,Cercopithecus ascanius,Flavivirus Yellow Fever,0,0,0,0,14,0,0,14,0,14,0,0,0,0,0,0.65234375,3,Virus,Vector-Indirect
617,617,Cercopithecus ascanius,Giardia intestinalis,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0.26,3,Protozoa,Direct-Nonclose
618,618,Cercopithecus ascanius,Hepatocystis cercopitheci,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,,1,Protozoa,Vector-Indirect
619,619,Cercopithecus ascanius,Hepatocystis kochi,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0.36,1,Protozoa,Vector-Indirect
620,620,Cercopithecus ascanius,Iodamoeba butschlii,0,0,4,0,0,0,0,0,4,0,0,0,4,4,0,0.100828025,3,Protozoa,Direct-CloseT-Nonclose
621,621,Cercopithecus ascanius,Isospora sp.,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,1,Protozoa,Direct
622,622,Cercopithecus ascanius,Lentivirus Simian immunodeficiency virus,0,0,0,0,2,0,0,0,2,0,2,2,2,0,0,0.24975,1,Virus,Direct-Sexual-Vertical-CloseT
623,623,Cercopithecus ascanius,Mesocestoides sp.,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,,1,Helminth,Indirect-Intermediate
624,624,Cercopithecus ascanius,Oesophagostomum sp.,0,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0.20270101,4,Helminth,Direct-Nonclose
625,625,Cercopithecus ascanius,Orthobunyavirus Bwamba orthobunyavirus,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0.136,1,Virus,Vector-Indirect
626,626,Cercopithecus ascanius,Orthopoxvirus monkeypox,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,,1,Virus,Direct-CloseT
627,627,Cercopithecus ascanius,Primasubulura sp.,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.16,1,Helminth,Direct-CloseT
628,628,Cercopithecus ascanius,Staphylococcus aureus,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,,1,Bacteria,Direct-Vertical-CloseT-Nonclose
629,629,Cercopithecus ascanius,Streptopharagus sp.,0,0,0,0,0,4,0,0,0,4,0,0,0,0,4,0.167687225,3,Helminth,Indirect-Intermediate
630,630,Cercopithecus ascanius,Strongyloides fuelleborni,0,0,0,0,0,3,0,0,3,3,0,0,0,3,0,0.069617347,2,Helminth,Direct-Indirect-Nonclose
631,631,Cercopithecus ascanius,Trichuris trichiura,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.537,1,Helminth,Direct-Nonclose
632,632,Cercopithecus ascanius,Trypanosoma primatum,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,,1,Protozoa,Vector-Indirect
633,633,Cercopithecus campbelli,Ancylostoma sp.,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.461,1,Helminth,Direct-Nonclose
634,634,Cercopithecus campbelli,Balantidium coli,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0.045,1,Protozoa,Direct-CloseT-Nonclose
635,635,Cercopithecus campbelli,Blastocystis sp.,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.073,1,Protozoa,Direct
636,636,Cercopithecus campbelli,Chilomastix mesnili,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0.146,1,Protozoa,Direct-CloseT-Nonclose
637,637,Cercopithecus campbelli,Cytomegalovirus sp.,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,,1,Virus,Direct-Sexual-Vertical-CloseT
638,638,Cercopithecus campbelli,Dirofilaria corynodes,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,,1,Helminth,Vector-Indirect
639,639,Cercopithecus campbelli,Endolimax nana,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0.247,1,Protozoa,Direct-CloseT-Nonclose
640,640,Cercopithecus campbelli,Entamoeba coli,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0.584,1,Protozoa,Direct-CloseT-Nonclose
641,641,Cercopithecus campbelli,Entamoeba hartmanni,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0.253,1,Protozoa,Direct-CloseT-Nonclose
642,642,Cercopithecus campbelli,Giardia sp.,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.157,1,Protozoa,Direct-Nonclose
643,643,Cercopithecus campbelli,Hepatocystis bovillezi,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,,1,Protozoa,Vector-Indirect
644,644,Cercopithecus campbelli,Iodamoeba butschlii,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0.534,1,Protozoa,Direct-CloseT-Nonclose
645,645,Cercopithecus campbelli,Necator americanus,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.059,1,Helminth,Direct-Nonclose
646,646,Cercopithecus campbelli,Oesophagostomum sp.,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.562,1,Helminth,Direct-Nonclose
647,647,Cercopithecus campbelli,Strongyloides stercoralis,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0.09,1,Helminth,Direct-Indirect-Nonclose
648,648,Cercopithecus campbelli,Subulura sp.,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.56,1,Helminth,Indirect-Intermediate
649,649,Cercopithecus campbelli,Ternidens sp.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.843,1,Helminth,
650,650,Cercopithecus campbelli,Trichostrongylus sp.,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.023,1,Helminth,Direct-Nonclose
651,651,Cercopithecus campbelli,Trichuris trichiura,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.23,1,Helminth,Direct-Nonclose
652,652,Cercopithecus cephus,Deltaretrovirus Primate T-lymphotropic virus 1,0,0,0,0,3,0,0,0,3,0,3,3,3,0,0,,2,Virus,Direct-Sexual-Vertical-CloseT
